lga_code06,lga_name06,numeric,ci_low,ci_high,significance,vic_ave,feature_code,feature_name
20110,Alpine (S),43.3,36.2,50.6,none,36.3,20110,Alpine (S)
20260,Ararat (RC),33.3,25.9,41.6,none,36.3,20260,Ararat (RC)
20570,Ballarat (C),40,37,43.2,none,36.3,20570,Ballarat (C)
20660,Banyule (C),43.1,36.2,50.2,none,36.3,20660,Banyule (C)
20740,Bass Coast (S),33.6,27.1,40.9,none,36.3,20740,Bass Coast (S)
20830,Baw Baw (S),34.3,27.4,41.9,none,36.3,20830,Baw Baw (S)
20910,Bayside (C),46.5,39.1,53.9,worse,36.3,20910,Bayside (C)
21010,Benalla (RC),31.7,25.8,38.2,none,36.3,21010,Benalla (RC)
21110,Boroondara (C),44.7,37.3,52.3,none,36.3,21110,Boroondara (C)
21180,Brimbank (C),24.3,19.9,29.3,better,36.3,21180,Brimbank (C)
21270,Buloke (S),29.6,22.6,37.7,none,36.3,21270,Buloke (S)
21370,Campaspe (S),34.6,28.2,41.6,none,36.3,21370,Campaspe (S)
21450,Cardinia (S),32.9,25.9,40.9,none,36.3,21450,Cardinia (S)
21610,Casey (C),29.7,25.1,34.8,better,36.3,21610,Casey (C)
21670,Central Goldfields (S),32.2,26.1,38.9,none,36.3,21670,Central Goldfields (S)
21750,Colac-Otway (S),48.7,41.3,56.1,worse,36.3,21750,Colac-Otway (S)
21830,Corangamite (S),31.8,25,39.6,none,36.3,21830,Corangamite (S)
21890,Darebin (C),35.1,28.1,42.7,none,36.3,21890,Darebin (C)
22110,East Gippsland (S),38.6,31.7,46,none,36.3,22110,East Gippsland (S)
22170,Frankston (C),40.8,33.5,48.6,none,36.3,22170,Frankston (C)
22250,Gannawarra (S),37.9,31,45.2,none,36.3,22250,Gannawarra (S)
22310,Glen Eira (C),38.4,31.4,45.8,none,36.3,22310,Glen Eira (C)
22410,Glenelg (S),38.8,31.8,46.4,none,36.3,22410,Glenelg (S)
22490,Golden Plains (S),42,35.7,48.5,none,36.3,22490,Golden Plains (S)
22620,Greater Bendigo (C),35.9,29.6,42.7,none,36.3,22620,Greater Bendigo (C)
22670,Greater Dandenong (C),28.3,21.5,36.1,none,36.3,22670,Greater Dandenong (C)
22750,Greater Geelong (C),41.3,36,46.8,none,36.3,22750,Greater Geelong (C)
22830,Greater Shepparton (C),28.3,22.2,35.3,better,36.3,22830,Greater Shepparton (C)
22910,Hepburn (S),35.1,28.6,42.2,none,36.3,22910,Hepburn (S)
22980,Hindmarsh (S),27.2,20.6,34.9,better,36.3,22980,Hindmarsh (S)
23110,Hobsons Bay (C),38.2,31.2,45.6,none,36.3,23110,Hobsons Bay (C)
23190,Horsham (RC),38.7,31.8,46.1,none,36.3,23190,Horsham (RC)
23270,Hume (C),29.1,23.1,35.9,none,36.3,23270,Hume (C)
23350,Indigo (S),39.3,33.1,45.9,none,36.3,23350,Indigo (S)
23430,Kingston (C),36.4,29.7,43.6,none,36.3,23430,Kingston (C)
23670,Knox (C),32,25.1,39.7,none,36.3,23670,Knox (C)
23810,Latrobe (C),37.2,30.3,44.6,none,36.3,23810,Latrobe (C)
23940,Loddon (S),36.3,27.6,46,none,36.3,23940,Loddon (S)
24130,Macedon Ranges (S),35.9,29.6,42.7,none,36.3,24130,Macedon Ranges (S)
24210,Manningham (C),32,25.5,39.4,none,36.3,24210,Manningham (C)
24250,Mansfield (S),44.7,38,51.7,worse,36.3,24250,Mansfield (S)
24330,Maribyrnong (C),40.3,33.1,47.8,none,36.3,24330,Maribyrnong (C)
24410,Maroondah (C),38.2,31.3,45.6,none,36.3,24410,Maroondah (C)
24600,Melbourne (C),45,36.8,53.5,none,36.3,24600,Melbourne (C)
24650,Melton (S),29.1,22.9,36.2,none,36.3,24650,Melton (S)
24780,Mildura (RC),37.6,32.3,43.1,none,36.3,24780,Mildura (RC)
24850,Mitchell (S),32.1,25,40.2,none,36.3,24850,Mitchell (S)
24900,Moira (S),36.1,29.1,43.8,none,36.3,24900,Moira (S)
24970,Monash (C),29.3,22.9,36.5,none,36.3,24970,Monash (C)
25060,Moonee Valley (C),34.4,27.1,42.6,none,36.3,25060,Moonee Valley (C)
25150,Moorabool (S),35.7,29.4,42.6,none,36.3,25150,Moorabool (S)
25250,Moreland (C),30.3,24.5,36.7,none,36.3,25250,Moreland (C)
25340,Mornington Peninsula (S),47.5,39.5,55.6,worse,36.3,25340,Mornington Peninsula (S)
25430,Mount Alexander (S),39.9,33.4,46.7,none,36.3,25430,Mount Alexander (S)
25490,Moyne (S),32.8,26.6,39.7,none,36.3,25490,Moyne (S)
25620,Murrindindi (S),44.4,37.9,51,worse,36.3,25620,Murrindindi (S)
25710,Nillumbik (S),49.6,42.6,56.7,worse,36.3,25710,Nillumbik (S)
25810,Northern Grampians (S),36.1,29.5,43.3,none,36.3,25810,Northern Grampians (S)
25900,Port Phillip (C),54.4,47.2,61.5,worse,36.3,25900,Port Phillip (C)
25990,Pyrenees (S),37.2,28.9,46.4,none,36.3,25990,Pyrenees (S)
26080,Queenscliffe (B),52.1,41.7,62.4,worse,36.3,26080,Queenscliffe (B)
26170,South Gippsland (S),41.7,33.8,50,none,36.3,26170,South Gippsland (S)
26260,Southern Grampians (S),36.7,30.2,43.6,none,36.3,26260,Southern Grampians (S)
26350,Stonnington (C),45.9,37.9,54.1,worse,36.3,26350,Stonnington (C)
26430,Strathbogie (S),39.8,31.4,48.8,none,36.3,26430,Strathbogie (S)
26490,Surf Coast (S),47.9,41.1,54.7,worse,36.3,26490,Surf Coast (S)
26610,Swan Hill (RC),28.5,22.1,35.9,none,36.3,26610,Swan Hill (RC)
26670,Towong (S),32.2,25.2,40,none,36.3,26670,Towong (S)
26700,Wangaratta (RC),35.2,28.8,42.1,none,36.3,26700,Wangaratta (RC)
26730,Warrnambool (C),38.7,32.1,45.7,none,36.3,26730,Warrnambool (C)
26810,Wellington (S),37.8,31.6,44.3,none,36.3,26810,Wellington (S)
26890,West Wimmera (S),27.8,20.9,36,none,36.3,26890,West Wimmera (S)
26980,Whitehorse (C),31.5,24.6,39.4,none,36.3,26980,Whitehorse (C)
27070,Whittlesea (C),20.7,15.6,26.8,better,36.3,27070,Whittlesea (C)
27170,Wodonga (RC),40.8,33.7,48.3,none,36.3,27170,Wodonga (RC)
27260,Wyndham (C),28.1,21.9,35.3,none,36.3,27260,Wyndham (C)
27350,Yarra (C),48.2,40.5,56,worse,36.3,27350,Yarra (C)
27450,Yarra Ranges (S),42.9,36.2,49.8,none,36.3,27450,Yarra Ranges (S)
27630,Yarriambiack (S),23.9,17.8,31.2,better,36.3,27630,Yarriambiack (S)