,12/1/2011,
,Count,Median
Alpine,19,$175
Ararat,11,$200
Ballarat,137,$220
Banyule,204,$320
Bass Coast,23,$310
Baw Baw,34,$210
Bayside,174,$400
Benalla,25,$180
Boroondara,598,$380
Brimbank,151,$250
Buloke,0,$200
Campaspe,44,$185
Cardinia,42,$258
Casey,112,$280
Central Goldfields,7,$195
Colac-Otway,13,$190
Corangamite,9,$175
Darebin,411,$330
East Gippsland,40,$200
Frankston,241,$260
Gannawarra,0,$200
Glen Eira,540,$370
Glenelg,18,$165
Golden Plains,0,$200
Greater Bendigo,145,$230
Greater Dandenong,316,$260
Greater Geelong,316,$265
Greater Shepparton,121,$200
Hepburn,14,$270
Hindmarsh,0,$200
Hobsons Bay,171,$280
Horsham,33,$170
Hume,85,$290
Indigo,8,$190
Kingston,382,$310
Knox,148,$290
Latrobe,105,$160
Loddon,0,$200
Macedon Ranges,15,$250
Manningham,96,$353
Mansfield,7,$220
Maribyrnong,287,$320
Maroondah,187,$300
Melbourne,1254,$500
Melton,43,$230
Mildura,92,$178
Mitchell,24,$225
Moira,40,$183
Monash,267,$340
Moonee Valley,270,$340
Moorabool,10,$205
Moreland,529,$330
Mornington Penin'a,158,$265
Mount Alexander,10,$250
Moyne,7,$215
Murrindindi,0,$190
Nillumbik,16,$310
Northern Grampians,13,$140
Port Phillip,676,$420
Pyrenees,0,$200
Queenscliffe,0,$260
South Gippsland,21,$230
Southern Grampians,9,$220
Stonnington,586,$425
Strathbogie,0,$190
Surf Coast,15,$285
Swan Hill,29,$195
Towong,0,$190
Wangaratta,33,$175
Warrnambool,97,$240
Wellington,39,$190
West Wimmera,0,$200
Whitehorse,310,$340
Whittlesea,93,$275
Wodonga,97,$195
Wyndham,97,$250
Yarra,296,$460
Yarra Ranges,74,$290
Yarriambiack,0,$200
Group Total,3227,$350
,10513,$330